    • 		Wow
    • 		Oh
    • 		Ah
    • 		Oops
    • 		Haha
    • 		Yay
    • 		Ouch
    • 		Ugh
    • 		Hm
    • 		Aha
    • 		Eek
    • 		Phew
    • 		Yikes
    • 		Bravo
    • 		Cheers
    • 		Hooray
    • 		Shh
    • 		Gosh
    • 		Well
    • 		Yeah
    • 		Nope
    • 		Nah
    • 		Darn
    • 		Gee
    • 		Dang
    • 		Bingo
    • 		Ooh
    • 		Aww
    • 		Eww
    • 		Yuck
    • 		Hmm
    • 		Huh
    • 		Whoa
    • 		Omg
    • 		OMG
    • 		OMGosh
    • 		OMG
    • 		Jeez
    • 		Jeeze
    • 		Oops
    • 		Oopsy
    • 		Oopsie
    • 		Oopsy-daisy
    • 		Aww
    • 		Awe
    • 		Yay
    • 		Yea
    • 		Yes
    • 		No
    • 		Nah
    • 		Nope
    • 		Nuh-uh
    • 		Uh-huh
    • 		Okay
    • 		Okey-dokey
    • 		Alright
    • 		Whew
    • 		Wowza
    • 		Yippee
    • 		Oh dear
    • 		Good grief
    • 		Oh my
    • 		Oh well
    • 		Oh dear
    • 		Oh no
    • 		Oh yeah
    • 		Oh boy
    • 		Oh la la
    • 		Oh golly
    • 		Oh my goodness
    • 		Oh my gosh
    • 		Oh my goodness gracious
    • 		Oh my lord
    • 		Oh my days
    • 		Oh shoot
    • 		Oh snap
    • 		Oh dear me
    • 		Oh my heavens
